timeStamp,elapsed,Latency,label,responseCode,responseMessage,success,allThreads,bytes
1540315865265,2071,0,go to home page,,,true,0,2
1540315867337,857,0,"search ""apple""",,,true,0,2
1540315868194,1539,0,click macbook,,,true,0,2
1540315869734,67,0,add macbook to cart,,,true,0,2
1540315869803,561,0,"click ""books""",,,true,0,2
1540315870365,49,0,add fahrenheit 451 to cart,,,true,0,2
1540315870415,60008,0,"click ""accessories""",,"NoSuchElementException: Message: no such element: Unable to locate element: {""method"":""link text"",""selector"":""Accessories""}
  (Session info: chrome=70.0.3538.67)
  (Driver info: chromedriver=2.40.565386 (45a059dc425e08165f9a10324bd1380cc13ca363),platform=Mac OS X 10.13.6 x86_64)
",false,0,2
