timeStamp,elapsed,Latency,label,responseCode,responseMessage,success,allThreads,bytes
1540575972639,1,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972642,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972644,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972645,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972647,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972648,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972650,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972651,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972652,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972654,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972655,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972656,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972658,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972659,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972661,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972662,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972663,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972665,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972669,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972670,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972672,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972673,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972674,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972676,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972677,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972678,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972679,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972681,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972682,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972683,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972685,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972686,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972688,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972689,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972690,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972692,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972693,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972694,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972695,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972698,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972699,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972701,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972702,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972705,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972707,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972708,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972709,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972710,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972712,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972713,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972714,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972715,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972717,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972718,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
1540575972719,0,0,runTest,,"invalid syntax (NOP_SC3.py, line 72)",false,1,2
