timeStamp,elapsed,Latency,label,responseCode,responseMessage,success,allThreads,bytes
1540422298449,1264,0,go to home page,,,true,1,2
1540422299714,852,0,"search ""apple""",,,true,1,2
1540422300567,1568,0,click macbook,,,true,1,2
1540422302135,49,0,add macbook to cart,,,true,1,2
1540422302185,537,0,"click ""books""",,,true,1,2
1540422302722,57,0,add fahrenheit 451 to cart,,,true,1,2
1540422302780,43689,0,"click ""accessories""",,AttributeError: 'NoneType' object has no attribute 'click',false,1,2
1540422349669,1222,0,go to home page,,,true,1,2
1540422350892,519,0,"search ""apple""",,,true,1,2
1540422351412,1563,0,click macbook,,,true,1,2
1540422352976,53,0,add macbook to cart,,,true,1,2
1540422353030,520,0,"click ""books""",,,true,1,2
1540422353551,63,0,add fahrenheit 451 to cart,,,true,1,2
1540422353615,60011,0,"click ""accessories""",,"NoSuchElementException: Message: no such element: Unable to locate element: {""method"":""link text"",""selector"":""Accessories""}
  (Session info: chrome=70.0.3538.77)
  (Driver info: chromedriver=2.40.565386 (45a059dc425e08165f9a10324bd1380cc13ca363),platform=Mac OS X 10.13.6 x86_64)
",false,1,2
