2018-10-26 11:13:33,844:INFO:46735:123145516376064:loadgen:Total workers: 1
2018-10-26 11:13:33,851:INFO:46738:123145516376064:loadgen:Adding worker: idx=0	concurrency=1	results=/Users/chefe02/Desktop/presales_cert/Artifacts/2018-10-26_11-13-32.766179bz/apiritif-0.csv
2018-10-26 11:13:37,105:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577617.105,name=go to home page
2018-10-26 11:13:38,469:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=1.364,name=go to home page
2018-10-26 11:13:38,469:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577618.470,name=search "apple"
2018-10-26 11:13:45,161:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=6.691,name=search "apple"
2018-10-26 11:13:45,161:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577625.161,name=click macbook
2018-10-26 11:13:50,337:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=5.176,name=click macbook
2018-10-26 11:13:50,338:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577630.338,name=add macbook to cart
2018-10-26 11:13:53,408:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=3.070,name=add macbook to cart
2018-10-26 11:13:53,408:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577633.409,name=click "books"
2018-10-26 11:13:57,020:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=3.611,name=click "books"
2018-10-26 11:13:57,020:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577637.020,name=add fahrenheit 451 to cart
2018-10-26 11:14:00,088:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=3.068,name=add fahrenheit 451 to cart
2018-10-26 11:14:00,088:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577640.089,name=click "downloads"
2018-10-26 11:14:03,146:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=3.057,name=click "downloads"
2018-10-26 11:14:06,715:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577646.715,name=go to home page
2018-10-26 11:14:08,158:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=1.443,name=go to home page
2018-10-26 11:14:08,159:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577648.159,name=search "apple"
2018-10-26 11:14:14,736:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=6.577,name=search "apple"
2018-10-26 11:14:14,736:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577654.737,name=click macbook
2018-10-26 11:14:21,528:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=6.791,name=click macbook
2018-10-26 11:14:21,528:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577661.529,name=add macbook to cart
2018-10-26 11:14:24,587:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=3.059,name=add macbook to cart
2018-10-26 11:14:24,587:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577664.588,name=click "books"
2018-10-26 11:14:28,108:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=3.521,name=click "books"
2018-10-26 11:14:28,109:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577668.109,name=add fahrenheit 451 to cart
2018-10-26 11:14:31,168:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=3.060,name=add fahrenheit 451 to cart
2018-10-26 11:14:31,169:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577671.169,name=click "downloads"
2018-10-26 11:14:34,231:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=3.062,name=click "downloads"
2018-10-26 11:14:37,683:INFO:46738:123145568055296:apiritif.recorder:Transaction started:: start_time=1540577677.683,name=go to home page
2018-10-26 11:14:38,910:INFO:46738:123145568055296:apiritif.recorder:Transaction ended:: duration=1.228,name=go to home page
