2018-10-26 11:26:07,814:INFO:47973:123145494573056:loadgen:Total workers: 1
2018-10-26 11:26:07,821:INFO:47976:123145494573056:loadgen:Adding worker: idx=0	concurrency=1	results=/Users/chefe02/Desktop/presales_cert/Artifacts/2018-10-26_11-26-06.648100bz/apiritif-0.csv
2018-10-26 11:26:11,232:INFO:47976:123145372557312:apiritif.recorder:Transaction started:: start_time=1540578371.232,name=go to home page
2018-10-26 11:26:12,372:INFO:47976:123145372557312:apiritif.recorder:Transaction ended:: duration=1.141,name=go to home page
2018-10-26 11:26:12,373:INFO:47976:123145372557312:apiritif.recorder:Transaction started:: start_time=1540578372.373,name=search "apple"
2018-10-26 11:26:18,929:INFO:47976:123145372557312:apiritif.recorder:Transaction ended:: duration=6.556,name=search "apple"
2018-10-26 11:26:18,930:INFO:47976:123145372557312:apiritif.recorder:Transaction started:: start_time=1540578378.930,name=click macbook
2018-10-26 11:26:24,094:INFO:47976:123145372557312:apiritif.recorder:Transaction ended:: duration=5.164,name=click macbook
2018-10-26 11:26:24,094:INFO:47976:123145372557312:apiritif.recorder:Transaction started:: start_time=1540578384.095,name=add macbook to cart
2018-10-26 11:26:27,159:INFO:47976:123145372557312:apiritif.recorder:Transaction ended:: duration=3.065,name=add macbook to cart
2018-10-26 11:26:27,165:INFO:47976:123145372557312:apiritif.recorder:Transaction started:: start_time=1540578387.166,name=click "books"
2018-10-26 11:26:30,706:INFO:47976:123145372557312:apiritif.recorder:Transaction ended:: duration=3.541,name=click "books"
2018-10-26 11:26:30,707:INFO:47976:123145372557312:apiritif.recorder:Transaction started:: start_time=1540578390.707,name=add fahrenheit 451 to cart
2018-10-26 11:26:33,775:INFO:47976:123145372557312:apiritif.recorder:Transaction ended:: duration=3.069,name=add fahrenheit 451 to cart
2018-10-26 11:26:33,776:INFO:47976:123145372557312:apiritif.recorder:Transaction started:: start_time=1540578393.776,name=click "accessories"
2018-10-26 11:26:36,840:INFO:47976:123145372557312:apiritif.recorder:Transaction ended:: duration=3.064,name=click "accessories"
